City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
289,mehamn,71.0357,27.8492,0.97,86,0,3.6,NO,1667886736
290,nuristan,35.3,70.8333,-1.29,61,89,3.38,AF,1667886736
291,mantenopolis,-18.8625,-41.1228,15.91,92,68,1.21,BR,1667886736
292,balakhta,55.38,91.6,-1.71,72,56,0.57,RU,1667886737
293,poltavka,54.3663,71.7632,-2.93,80,91,2.35,RU,1667886737
294,sabang,5.8933,95.3214,27.28,76,99,5.25,ID,1667886737
295,manggar,-2.8833,108.2667,27.78,73,100,0.74,ID,1667886738
296,ucluelet,48.9329,-125.5528,-0.51,87,92,5.91,CA,1667886738
297,kamenka,51.3223,42.7678,1.15,79,87,2.8,RU,1667886739
298,kimbe,-5.5502,150.1429,28.62,80,91,2.04,PG,1667886521
299,akyab,20.15,92.9,28.94,57,49,2.68,MM,1667886739
300,panikian,7.0107,126.0242,32.84,73,48,1.66,PH,1667886739
301,mananara,-16.1667,49.7667,26.61,59,30,2.08,MG,1667886740
302,aswan,24.0934,32.907,16.61,39,0,1.54,EG,1667886740
303,quatre cocos,-20.2078,57.7625,26.16,67,73,5.67,MU,1667886740
304,srivardhan,18.0333,73.0167,30.55,41,15,1.23,IN,1667886741
305,mwene-ditu,-7.0,23.45,19.42,96,99,1.47,CD,1667886741
306,vila velha,-20.3297,-40.2925,21.64,88,100,2.06,BR,1667886593
307,pangnirtung,66.1451,-65.7125,-14.82,63,49,2.63,CA,1667886742
308,carutapera,-1.195,-46.02,24.56,91,98,2.78,BR,1667886742
309,bisho,-32.8472,27.4422,16.35,84,100,1.51,ZA,1667886742
310,burgeo,47.6167,-57.6152,8.5,72,80,11.4,CA,1667886743
311,westport,41.1415,-73.3579,12.12,53,3,2.24,US,1667886743
312,lososina,48.9975,140.3106,4.27,48,73,4.43,RU,1667886744
313,atar,20.5169,-13.0499,24.46,19,98,1.98,MR,1667886744
314,seydi,39.4816,62.9137,5.96,46,6,4.31,TM,1667886744
315,anloga,5.7947,0.8973,26.98,79,28,1.56,GH,1667886745
316,severo-kurilsk,50.6789,156.125,4.07,72,72,8.28,RU,1667886745
317,les cayes,18.2,-73.75,23.71,83,11,1.06,HT,1667886745
318,kassala,15.451,36.4,28.43,51,0,2.7,SD,1667886746
319,souillac,-20.5167,57.5167,26.21,65,40,4.63,MU,1667886746
320,koulamoutou,-1.1303,12.4736,22.1,98,100,0.25,GA,1667886746
321,nevel,56.0209,29.9284,5.97,91,99,3.66,RU,1667886747
322,amapa,1.0,-52.0,21.23,100,100,1.05,BR,1667886747
323,nioro,13.35,-15.75,22.83,41,100,3.15,GM,1667886747
324,wattegama,6.7989,81.4808,29.66,63,100,3.31,LK,1667886748
325,barcelos,41.5388,-8.6151,17.08,93,98,6.03,PT,1667886748
326,talakan,50.3167,130.3667,1.07,58,3,2.08,RU,1667886748
327,kadnikov,59.5022,40.338,1.25,97,100,3.42,RU,1667886749
328,labrea,-7.2586,-64.7981,25.04,63,94,1.1,BR,1667886749
329,bijie,27.3125,105.2942,17.73,58,93,3.97,CN,1667886750
330,emerald,-23.5333,148.1667,28.52,38,35,4.4,AU,1667886750
331,thiruvananthapuram,8.4833,76.9167,28.99,74,75,1.03,IN,1667886174
332,kavaratti,10.5669,72.642,27.7,72,1,3.45,IN,1667886751
333,lavrentiya,65.5833,-171.0,-1.44,95,100,9.5,RU,1667886751
334,vostok,46.4856,135.8833,0.63,56,73,3.77,RU,1667886751
335,kifri,34.6959,44.9661,21.25,22,69,3.21,IQ,1667886752
336,belyy yar,53.6039,91.3903,0.48,67,0,2.0,RU,1667886752
337,frontera,26.9333,-101.45,23.51,66,37,0.45,MX,1667886234
338,shitanjing,39.2342,106.3439,10.41,53,92,1.68,CN,1667886753
339,severo-yeniseyskiy,60.3725,93.0408,-7.26,88,99,3.6,RU,1667886753
340,leh,34.1667,77.5833,0.15,50,56,2.04,IN,1667886753
341,nuuk,64.1835,-51.7216,-8.4,78,1,7.15,GL,1667886754
342,minna,9.6139,6.5569,20.82,41,61,2.22,NG,1667886754
343,san patricio,28.017,-97.5169,24.91,89,3,3.43,US,1667886754
344,ahipara,-35.1667,173.1667,16.48,87,93,6.91,NZ,1667886755
345,college,64.8569,-147.8028,-7.03,79,75,0.0,US,1667886755
346,griffith,41.5284,-87.4237,8.96,75,0,6.69,US,1667886755
347,manoharpur,27.3,75.95,27.88,31,64,1.94,IN,1667886756
348,port lincoln,-34.7333,135.8667,21.08,62,100,5.12,AU,1667886756
349,pinas,-3.6667,-79.65,18.13,88,62,0.49,EC,1667886757
350,krasnyy yar,46.5331,48.3456,2.96,65,100,3.8,RU,1667886757
351,huilong,31.8111,121.655,21.07,59,0,4.87,CN,1667886757
